ROI Name,label_df2,yeo17_network,R,A,S,effect,pfdr
7Networks_LH_SomMot_14,17Networks_LH_SomMotA_6,SomMotA,-20,-10,68,0.005956193501313711,0.011793772379557293
7Networks_RH_SomMot_16,17Networks_RH_SomMotA_8,SomMotA,22,-8,68,0.00513835635599886,0.018323262532552086
7Networks_RH_SomMot_14,17Networks_RH_SomMotA_6,SomMotA,34,-20,66,0.004805411420522725,0.010744730631510418
7Networks_LH_SomMot_12,17Networks_LH_SomMotA_4,SomMotA,-32,-22,64,0.004327389346122075,0.011793772379557293
7Networks_LH_SalVentAttn_Med_3,17Networks_LH_SalVentAttnA_FrMed_2,SalVentAttnA,-6,-2,66,0.00430283091243322,0.018024444580078125
7Networks_RH_DorsAttn_Post_5,17Networks_RH_DorsAttnB_PostC_2,DorsAttnB,42,-32,46,0.00419726555959966,0.036945343017578125
7Networks_RH_DorsAttn_Post_3,17Networks_RH_DorsAttnB_PostC_1,DorsAttnB,60,-16,34,0.004142190300356198,0.018090468186598558
7Networks_RH_SomMot_18,17Networks_RH_SomMotA_10,SomMotA,6,-22,68,0.004050255863641351,0.018090468186598558
7Networks_LH_SomMot_5,17Networks_LH_SomMotB_S2_3,SomMotB,-52,-22,18,0.0038789118547839984,0.012179783412388392
7Networks_LH_SomMot_10,17Networks_LH_SomMotA_3,SomMotA,-40,-26,56,0.003107232120171034,0.018090468186598558
7Networks_RH_SomMot_4,17Networks_RH_SomMotB_S2_2,SomMotB,44,-28,18,0.0029701548498867933,0.018090468186598558
7Networks_RH_SalVentAttn_Med_3,17Networks_RH_SalVentAttnA_FrMed_2,SalVentAttnA,8,4,66,0.0028936389719259816,0.049391025450171495
7Networks_RH_SomMot_9,17Networks_RH_SomMotA_1,SomMotA,52,-22,52,0.00286450397083372,0.049391025450171495
7Networks_LH_SalVentAttn_ParOper_2,17Networks_LH_SalVentAttnA_ParOper_1,SalVentAttnA,-62,-26,28,0.002810940446843168,0.036945343017578125
