ROI Name,label_df2,yeo17_network,R,A,S,effect,pfdr
7Networks_LH_SomMot_14,17Networks_LH_SomMotA_6,SomMotA,-20,-10,68,0.005956193501313711,0.011793772379557293
7Networks_RH_SomMot_16,17Networks_RH_SomMotA_8,SomMotA,22,-8,68,0.00513835635599886,0.018323262532552086
7Networks_LH_SomMot_12,17Networks_LH_SomMotA_4,SomMotA,-32,-22,64,0.004327389346122075,0.011793772379557293
7Networks_LH_SalVentAttn_Med_3,17Networks_LH_SalVentAttnA_FrMed_2,SalVentAttnA,-6,-2,66,0.00430283091243322,0.018024444580078125
7Networks_RH_DorsAttn_Post_5,17Networks_RH_DorsAttnB_PostC_2,DorsAttnB,42,-32,46,0.00419726555959966,0.036945343017578125
7Networks_RH_DorsAttn_Post_3,17Networks_RH_DorsAttnB_PostC_1,DorsAttnB,60,-16,34,0.004142190300356198,0.018090468186598558
7Networks_LH_SomMot_5,17Networks_LH_SomMotB_S2_3,SomMotB,-52,-22,18,0.0038789118547839984,0.012179783412388392
7Networks_RH_SomMot_4,17Networks_RH_SomMotB_S2_2,SomMotB,44,-28,18,0.0029701548498867933,0.018090468186598558
7Networks_RH_SalVentAttn_Med_3,17Networks_RH_SalVentAttnA_FrMed_2,SalVentAttnA,8,4,66,0.0028936389719259816,0.049391025450171495
7Networks_RH_SomMot_9,17Networks_RH_SomMotA_1,SomMotA,52,-22,52,0.00286450397083372,0.049391025450171495
7Networks_LH_SalVentAttn_ParOper_2,17Networks_LH_SalVentAttnA_ParOper_1,SalVentAttnA,-62,-26,28,0.002810940446843168,0.036945343017578125
7Networks_LH_SomMot_13,17Networks_LH_SomMotA_5,SomMotA,-26,-38,68,0.002785419491958821,0.036945343017578125
7Networks_RH_Cont_PFCl_2,17Networks_RH_ContB_PFClv_2,ContB,30,58,4,0.002384910759948199,0.010744730631510418
7Networks_RH_SomMot_2,17Networks_RH_SomMotB_Aud_2,SomMotB,64,-24,8,0.0023268212349091847,0.027322769165039062
7Networks_LH_SomMot_7,17Networks_LH_SomMotB_Cent_2,SomMotB,-48,-8,46,0.0023221783977064527,0.024845289147418476
7Networks_RH_Cont_Cing_1,17Networks_RH_ContC_Cingp_1,ContC,6,-24,30,0.002077929961812875,0.01049041748046875
7Networks_RH_Default_pCunPCC_3,17Networks_RH_ContC_pCun_2,ContC,6,-58,44,0.001996606846153088,0.024824142456054688
7Networks_LH_SalVentAttn_FrOperIns_4,17Networks_LH_SalVentAttnA_FrOper_2,SalVentAttnA,-52,8,10,0.0017874326147311538,0.04873533506651182
7Networks_RH_Default_Temp_3,17Networks_RH_TempPar_1,TempPar,54,-6,-10,0.001554170883880091,0.01882665297564338
7Networks_RH_Cont_PFCl_1,17Networks_RH_ContB_PFClv_1,ContB,36,46,-14,0.001169218391018018,0.04873533506651182
