ROI Name,label_df2,yeo17_network,R,A,S,effect,pfdr
7Networks_RH_SomMot_14,17Networks_RH_SomMotA_6,SomMotA,34,-20,66,0.004805411420522725,0.010744730631510418
7Networks_RH_SomMot_18,17Networks_RH_SomMotA_10,SomMotA,6,-22,68,0.004050255863641351,0.018090468186598558
7Networks_LH_SomMot_10,17Networks_LH_SomMotA_3,SomMotA,-40,-26,56,0.003107232120171034,0.018090468186598558
7Networks_LH_SomMot_6,17Networks_LH_SomMotB_Cent_1,SomMotB,-56,-8,30,0.0024855164063894244,0.03694646498736213
7Networks_LH_DorsAttn_PrCv_1,17Networks_LH_ContA_PFCl_2,ContA,-48,6,28,0.002347349995163342,0.049391025450171495
7Networks_RH_SomMot_10,17Networks_RH_SomMotA_2,SomMotA,46,-12,48,0.0023186209465296285,0.036945343017578125
7Networks_RH_Cont_Par_2,17Networks_RH_ContB_IPL_2,ContB,52,-42,48,0.0020933109142075392,0.018090468186598558
7Networks_LH_SomMot_1,17Networks_LH_SomMotB_Aud_1,SomMotB,-50,-4,-2,0.0017820467733956518,0.036945343017578125
7Networks_LH_Default_Par_2,17Networks_LH_DefaultC_IPL_1,DefaultC,-38,-80,32,0.0017704112955584542,0.03694646498736213
7Networks_LH_Cont_Par_2,17Networks_LH_ContA_IPS_1,ContA,-34,-62,48,0.0017189158068420145,0.024824142456054688
7Networks_RH_Vis_11,17Networks_RH_VisCent_ExStr_4,VisCent,42,-80,10,0.0017178210731897984,0.024824142456054688
7Networks_RH_SomMot_11,17Networks_RH_SomMotA_3,SomMotA,6,-10,52,0.0016978135939824668,0.018323262532552086
7Networks_LH_SomMot_15,17Networks_LH_SomMotA_7,SomMotA,-4,-32,66,0.0015439101692103522,0.024845289147418476
7Networks_LH_Default_pCunPCC_3,17Networks_LH_DefaultA_pCunPCC_2,DefaultA,-4,-30,36,0.0014574204441032941,0.01882665297564338
7Networks_RH_DorsAttn_FEF_2,17Networks_RH_ContA_PFCd_1,ContA,26,8,58,0.0013277344459210578,0.049391025450171495
7Networks_RH_SalVentAttn_FrOperIns_2,17Networks_RH_SalVentAttnA_Ins_2,SalVentAttnA,46,-4,-4,0.0012992589137333763,0.03694646498736213
7Networks_RH_Cont_PFCl_6,17Networks_RH_ContB_PFCld_1,ContB,40,34,38,0.0012316446134325826,0.024845289147418476
7Networks_LH_SomMot_8,17Networks_LH_SomMotA_1,SomMotA,-8,-12,46,0.0012032856949742935,0.011793772379557293
7Networks_LH_Cont_Cing_2,17Networks_LH_ContA_Cingm_1,ContA,-4,4,30,0.0011823491411990742,0.04873533506651182
7Networks_RH_Cont_PFCl_5,17Networks_RH_SalVentAttnB_PFCl_1,SalVentAttnB,30,48,28,0.001106876944902175,0.03694646498736213
7Networks_LH_Limbic_TempPole_4,17Networks_LH_LimbicA_TempPole_4,LimbicA,-42,8,-18,0.0008235176206538126,0.036945343017578125
