ROI Name,label_df2,yeo17_network,R,A,S,effect,pfdr
7Networks_LH_Default_PFC_9,17Networks_LH_DefaultB_PFCd_2,DefaultB,-12,48,44,0.005538910607995649,0.0381424313499814
7Networks_LH_Default_Par_3,17Networks_LH_DefaultB_IPL_1,DefaultB,-58,-54,28,0.005346010862073525,0.016002655029296875
7Networks_RH_Default_PFCdPFCm_5,17Networks_RH_DefaultB_PFCd_1,DefaultB,16,46,44,0.0049548382294830814,0.024211022161668348
7Networks_RH_Default_PFCdPFCm_1,17Networks_RH_LimbicB_OFC_3,LimbicB,4,36,-14,0.004065646666249222,0.040500640869140625
7Networks_LH_Default_PFC_7,17Networks_LH_DefaultB_PFCd_1,DefaultB,-8,60,20,0.004023147946797108,0.04007127549913194
7Networks_RH_SomMot_13,17Networks_RH_SomMotA_5,SomMotA,32,-40,64,0.0038991945331132705,0.021586210831351902
7Networks_RH_DorsAttn_Post_10,17Networks_RH_DorsAttnB_PostC_4,DorsAttnB,22,-48,70,0.003651133691763699,0.008392333984375
7Networks_RH_Default_PFCdPFCm_4,17Networks_RH_DefaultA_PFCm_3,DefaultA,8,58,18,0.0036057364513014034,0.022611946895204744
7Networks_RH_SomMot_6,17Networks_RH_SomMotB_S2_4,SomMotB,56,-12,14,0.0035656271399743204,0.015484202991832386
7Networks_RH_SomMot_5,17Networks_RH_SomMotB_S2_3,SomMotB,60,0,10,0.003519429742225823,0.020490373883928572
7Networks_LH_SalVentAttn_FrOperIns_3,17Networks_LH_SalVentAttnA_FrOper_1,SalVentAttnA,-38,0,10,0.0033556191545510337,0.012755393981933594
7Networks_LH_Default_pCunPCC_4,17Networks_LH_DefaultA_pCunPCC_3,DefaultA,-6,-54,42,0.0029577137834136853,0.012755393981933594
7Networks_RH_Default_Par_2,17Networks_RH_DefaultA_IPL_1,DefaultA,54,-50,28,0.002884132327926334,0.04721959431966146
7Networks_RH_SomMot_15,17Networks_RH_SomMotA_7,SomMotA,28,-34,66,0.002877685552600907,0.03489388359917535
7Networks_LH_SomMot_4,17Networks_LH_SomMotB_S2_2,SomMotB,-56,-4,10,0.002847908928349862,0.022611946895204744
7Networks_LH_DorsAttn_FEF_2,17Networks_LH_ContA_PFCd_1,ContA,-22,6,62,0.0027431230286276485,0.04721959431966146
7Networks_LH_Default_PFC_12,17Networks_LH_DefaultA_PFCd_1,DefaultA,-24,24,48,0.002714815421127059,0.040500640869140625
7Networks_RH_SalVentAttn_TempOccPar_3,17Networks_RH_SalVentAttnA_ParOper_1,SalVentAttnA,60,-26,28,0.002697087938116574,0.012755393981933594
7Networks_RH_Default_pCunPCC_2,17Networks_RH_DefaultA_pCunPCC_1,DefaultA,6,-48,30,0.002641459910201858,0.016002655029296875
7Networks_RH_SalVentAttn_FrOperIns_4,17Networks_RH_SalVentAttnA_FrOper_1,SalVentAttnA,44,6,4,0.0025658024459317896,0.022611946895204744
7Networks_LH_DorsAttn_Post_5,17Networks_LH_DorsAttnB_PostC_2,DorsAttnB,-40,-36,48,0.0025569443543528936,0.0381424313499814
7Networks_LH_DorsAttn_Post_10,17Networks_LH_DorsAttnB_PostC_4,DorsAttnB,-18,-54,68,0.0024225250682342126,0.022611946895204744
7Networks_LH_DorsAttn_Post_4,17Networks_LH_DorsAttnB_PostC_1,DorsAttnB,-54,-26,42,0.0024116822077962057,0.04281817742113797
7Networks_RH_Default_PFCdPFCm_7,17Networks_RH_ContB_PFCld_3,ContB,24,24,54,0.002251134725211297,0.03641568697415865
7Networks_LH_Default_PFC_1,17Networks_LH_DefaultB_PFCv_1,DefaultB,-34,20,-14,0.0022146110032096483,0.016002655029296875
7Networks_LH_Default_PFC_6,17Networks_LH_DefaultA_PFCm_3,DefaultA,-6,44,8,0.002080895429828652,0.0381424313499814
7Networks_RH_Default_Temp_1,17Networks_RH_DefaultB_AntTemp_1,DefaultB,48,12,-30,0.002028589348330099,0.024211022161668348
7Networks_LH_Default_PFC_10,17Networks_LH_DefaultB_PFCd_3,DefaultB,-4,34,44,0.001977450504826672,0.04532677786690848
7Networks_RH_Default_PFCdPFCm_2,17Networks_RH_DefaultA_PFCm_1,DefaultA,8,42,4,0.0019601795713041215,0.02596884062795928
7Networks_RH_Default_Temp_5,17Networks_RH_TempPar_2,TempPar,52,-32,2,0.0018569886098080597,0.028699987074908086
7Networks_RH_SalVentAttn_Med_1,17Networks_RH_SalVentAttnA_FrMed_1,SalVentAttnA,8,10,42,0.0016161778962753917,0.04532677786690848
7Networks_LH_Default_Temp_3,17Networks_LH_DefaultB_Temp_3,DefaultB,-56,-6,-12,0.0016036778519212338,0.040500640869140625
7Networks_LH_Vis_8,17Networks_LH_DorsAttnA_ParOcc_1,DorsAttnA,-48,-70,10,0.0014332295644133588,0.0144195556640625
7Networks_RH_SalVentAttn_TempOccPar_1,17Networks_RH_TempPar_3,TempPar,58,-46,10,0.001410788320414424,0.03641568697415865
7Networks_LH_SalVentAttn_ParOper_1,17Networks_LH_SomMotB_Aud_3,SomMotB,-56,-40,20,0.0012165685530363282,0.016002655029296875
7Networks_LH_DorsAttn_Post_8,17Networks_LH_DorsAttnA_SPL_3,DorsAttnA,-30,-60,60,0.0012148416093548955,0.04721959431966146
7Networks_RH_Limbic_OFC_2,17Networks_RH_LimbicB_OFC_2,LimbicB,28,22,-20,0.0011325245562456314,0.031667436872209825
7Networks_RH_SalVentAttn_FrOperIns_1,17Networks_RH_SalVentAttnA_Ins_1,SalVentAttnA,40,6,-16,0.0009967474919814995,0.016002655029296875
7Networks_RH_Vis_5,17Networks_RH_VisCent_ExStr_2,VisCent,48,-72,-6,0.0009483528832835748,0.04007127549913194
7Networks_LH_DorsAttn_Post_1,17Networks_LH_DorsAttnA_TempOcc_1,DorsAttnA,-44,-48,-20,0.0008608551955835008,0.016002655029296875
